GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hosttracker.implementation,org.opendaylight.controller.hosttracker.internal,HostTracker,1945,0,203,0,551,0,167,0,64,0
hosttracker.implementation,org.opendaylight.controller.hosttracker.internal,Activator,126,0,2,0,38,0,9,0,8,0
hosttracker.implementation,org.opendaylight.controller.hosttracker.internal,HostTracker.ARPPending,24,0,0,0,10,0,7,0,7,0
hosttracker.implementation,org.opendaylight.controller.hosttracker.internal,HostTracker.ARPRefreshHandler,130,0,22,0,35,0,13,0,2,0
hosttracker.implementation,org.opendaylight.controller.hosttracker.internal,HostTracker.OutStandingARPHandler,86,0,6,0,21,0,5,0,2,0
hosttracker.implementation,org.opendaylight.controller.hosttracker.internal,HostTracker.NotifyHostThread,68,0,4,0,21,0,4,0,2,0
hosttracker.implementation,org.opendaylight.controller.hosttracker.internal,HostTrackerCallable,44,0,2,0,13,0,4,0,3,0
