GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
switchmanager.implementation,org.opendaylight.controller.switchmanager.internal,Activator,131,0,2,0,37,0,7,0,6,0
switchmanager.implementation,org.opendaylight.controller.switchmanager.internal,SwitchManagerImpl,3555,0,425,0,892,0,326,0,112,0
switchmanager.implementation,org.opendaylight.controller.switchmanager.internal,SwitchManagerImpl.ReasonCode,91,0,0,0,9,0,5,0,5,0
