GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
switchmanager,org.opendaylight.controller.switchmanager,SubnetConfig,386,0,52,0,91,0,49,0,23,0
switchmanager,org.opendaylight.controller.switchmanager,SpanConfig,317,0,44,0,69,0,36,0,14,0
switchmanager,org.opendaylight.controller.switchmanager,SwitchConfig,180,0,40,0,48,0,29,0,9,0
switchmanager,org.opendaylight.controller.switchmanager,Switch,258,0,40,0,65,0,35,0,15,0
switchmanager,org.opendaylight.controller.switchmanager,Subnet,376,0,60,0,101,0,49,0,19,0
